"id","name","created_at","updated_at"
"1","ប្រភពពូជស្រូវ","2024-04-23 22:33:05","2024-04-23 22:33:05"
"2","ស្ដង់ដារដាំដុះ","2024-04-23 22:33:05","2024-04-23 22:33:05"
