"id","product_group_id","product_attribute_value_id","created_at","updated_at"
"1","2","1","2024-04-23 22:33:05","2024-04-23 22:33:05"
"2","2","2","2024-04-23 22:33:05","2024-04-23 22:33:05"
"3","2","3","2024-04-23 22:33:05","2024-04-23 22:33:05"
"4","2","4","2024-04-23 22:33:05","2024-04-23 22:33:05"
"5","2","5","2024-04-23 22:33:05","2024-04-23 22:33:05"
"6","2","6","2024-04-23 22:33:05","2024-04-23 22:33:05"
"7","2","7","2024-04-23 22:33:05","2024-04-23 22:33:05"
"8","2","8","2024-04-23 22:33:05","2024-04-23 22:33:05"
