"id","name","product_id","farmer_outlet_id","product_name","image_path","description","product_quality_id","product_quality_name","created_by","created_at","updated_at"
"81","ស្រូវដំណើប","5","77","ស្រូវដំណើប","uploads/product/2024/04/24/66288c8186180-1713933441.jpeg","R-01","","","QA Test","2024-04-24 16:23:19","2024-04-24 16:23:19"
"82","ស្រូវផ្ការំដួល","1","77","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","Q-01","","","QA Test","2024-04-24 16:31:32","2024-04-24 16:31:32"
"83","ស្រូវផ្ការំដួល","1","79","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","test de","","","ឡឹម ម៉េងលី","2024-04-24 17:13:59","2024-04-24 17:13:59"
"84","ស្រូវផ្កាខ្ញី","3","79","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","remark","","","ឡឹម ម៉េងលី","2024-04-24 17:20:16","2024-04-24 17:20:16"
"85","ស្រូវសែនក្រអូប","2","79","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","remark","","","ឡឹម ម៉េងលី","2024-04-24 17:22:06","2024-04-24 17:22:06"
"86","ស្រូវផ្ការំដួល","1","80","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","ឌៀម ដានី","2024-04-25 09:37:55","2024-04-25 09:37:55"
"87","ស្រូវផ្ការំដួល","1","86","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","គង់ សុរាទី","2024-04-25 11:55:20","2024-04-25 11:55:20"
"88","ស្រូវផ្ការំដួល","1","81","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","CAO Test","2024-04-25 14:39:35","2024-04-25 14:39:35"
"89","ស្រូវផ្ការំដួល","1","81","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","CAO Test","2024-04-25 14:40:09","2024-04-25 14:40:09"
"90","ស្រូវផ្ការំដួល","1","84","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","","","","CAO Test","2024-04-25 16:56:36","2024-04-25 16:56:36"
"91","ស្រូវសែនក្រអូប","2","84","ស្រូវសែនក្រអូប","uploads/product/2024/04/24/66288c680a77b-1713933416.jpeg","","","","CAO Test","2024-04-25 16:57:51","2024-04-25 16:57:51"
"92","ស្រូវផ្កាខ្ញី","3","84","ស្រូវផ្កាខ្ញី","uploads/product/2024/04/24/66288c7147706-1713933425.jpeg","","","","CAO Test","2024-04-25 16:58:24","2024-04-25 16:58:24"
"93","ស្រូវផ្ការំដួល","1","84","ស្រូវផ្ការំដួល","uploads/product/2024/04/24/66288c5d5792b-1713933405.jpeg","R-02","","","CAO Test","2024-04-25 17:15:45","2024-04-25 17:15:45"
